split,index,mapping,axis,angles,bloch_q0,fidelity,observable_error,passed
train,2,centered_half,rz,"[0.5235987755982987, -0.9424777960769379]","[0.0, 1.6653345369377348e-16, 1.0]",1.0,1.6653345369377348e-16,True
train,2,centered_half,h_rz,"[0.5235987755982987, -0.9424777960769379]","[0.8660254037844385, 0.49999999999999967, 0.0]",0.9999999999999993,2.220446049250313e-16,True
train,2,positive_half,ry,"[2.0943951023931953, 0.6283185307179586]","[0.8660254037844385, -5.551115123125783e-17, -0.4999999999999998]",1.0,2.220446049250313e-16,True
train,2,positive_half,rx,"[2.0943951023931953, 0.6283185307179586]","[0.0, -0.8660254037844387, -0.4999999999999998]",1.0,0.0,True
train,2,positive_half,rz,"[2.0943951023931953, 0.6283185307179586]","[0.0, 1.6653345369377348e-16, 1.0]",1.0,1.6653345369377348e-16,True
train,2,positive_half,h_rz,"[2.0943951023931953, 0.6283185307179586]","[-0.4999999999999996, 0.8660254037844385, 0.0]",0.9999999999999991,2.220446049250313e-16,True
train,3,centered_full,ry,"[3.141592653589793, 3.141592653589793]","[0.0, -2.220446049250313e-16, -1.0]",1.0,2.220446049250313e-16,True
train,3,centered_full,rx,"[3.141592653589793, 3.141592653589793]","[0.0, -2.220446049250313e-16, -1.0]",1.0,9.957992501029599e-17,True
train,3,centered_full,rz,"[3.141592653589793, 3.141592653589793]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
train,3,centered_full,h_rz,"[3.141592653589793, 3.141592653589793]","[-0.9999999999999996, 1.1102230246251565e-16, 0.0]",0.9999999999999991,4.440892098500626e-16,True
train,3,centered_half,ry,"[1.5707963267948966, 1.5707963267948966]","[0.9999999999999998, -2.7755575615628914e-17, 2.220446049250313e-16]",1.0,2.220446049250313e-16,True
train,3,centered_half,rx,"[1.5707963267948966, 1.5707963267948966]","[0.0, -1.0, 2.220446049250313e-16]",1.0,1.6081226496766364e-16,True
train,3,centered_half,rz,"[1.5707963267948966, 1.5707963267948966]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
train,3,centered_half,h_rz,"[1.5707963267948966, 1.5707963267948966]","[1.6653345369377348e-16, 0.9999999999999998, 0.0]",0.9999999999999991,2.220446049250313e-16,True
train,3,positive_half,ry,"[3.141592653589793, 3.141592653589793]","[0.0, -2.220446049250313e-16, -1.0]",1.0,2.220446049250313e-16,True
train,3,positive_half,rx,"[3.141592653589793, 3.141592653589793]","[0.0, -2.220446049250313e-16, -1.0]",1.0,9.957992501029599e-17,True
train,3,positive_half,rz,"[3.141592653589793, 3.141592653589793]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
train,3,positive_half,h_rz,"[3.141592653589793, 3.141592653589793]","[-0.9999999999999996, 1.1102230246251565e-16, 0.0]",0.9999999999999991,4.440892098500626e-16,True
holdout,0,centered_full,ry,"[0.0, 0.0]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
holdout,0,centered_full,rx,"[0.0, 0.0]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
holdout,0,centered_full,rz,"[0.0, 0.0]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
holdout,0,centered_full,h_rz,"[0.0, 0.0]","[0.9999999999999996, 0.0, 0.0]",0.9999999999999991,4.440892098500626e-16,True
holdout,0,centered_half,ry,"[0.0, 0.0]","[0.0, 2.220446049250313e-16, 1.0]",1.0,2.220446049250313e-16,True
