state,basis,shots,seed,count_00,count_01,count_10,count_11,p_equal,correlation,total_variation_distance,elapsed_seconds
bell,Z,100,43,45,0,0,55,1.0,1.0,0.05000000000000002,0.015023886997369118
bell,Z,100,44,50,0,0,50,1.0,1.0,1.1102230246251565e-16,0.014166822998959105
bell,Z,100,45,43,0,0,57,1.0,1.0,0.06999999999999998,0.015003043998149224
bell,Z,100,46,49,0,0,51,1.0,1.0,0.010000000000000009,0.06732366399955936
bell,Z,1000,42,493,0,0,507,1.0,1.0,0.007000000000000006,0.14692595299857203
bell,Z,1000,43,492,0,0,508,1.0,1.0,0.008000000000000007,0.13804675999563187
bell,Z,1000,44,499,0,0,501,1.0,1.0,0.0010000000000000009,0.19967326099867932
bell,Z,1000,45,506,0,0,494,1.0,1.0,0.006000000000000005,0.12749464600346982
bell,Z,1000,46,477,0,0,523,1.0,1.0,0.02300000000000002,0.12992733500141185
bell,Z,10000,42,4947,0,0,5053,1.0,1.0,0.005299999999999999,2.239224517994444
bell,Z,10000,43,4966,0,0,5034,1.0,1.0,0.0033999999999999864,1.5863553999952273
bell,Z,10000,44,5011,0,0,4989,1.0,1.0,0.0010999999999999899,1.4298689769930206
bell,Z,10000,45,5032,0,0,4968,1.0,1.0,0.0031999999999999806,1.381931406998774
bell,Z,10000,46,4913,0,0,5087,1.0,1.0,0.008700000000000013,1.3750500969981658
bell,X,100,42,51,0,0,49,1.0,1.0,0.010000000000000009,0.01421934199606767
bell,X,100,43,45,0,0,55,1.0,1.0,0.05000000000000002,0.01355650500045158
bell,X,100,44,50,0,0,50,1.0,1.0,3.3306690738754696e-16,0.01627972200367367
bell,X,100,45,43,0,0,57,1.0,1.0,0.06999999999999998,0.013507326002581976
bell,X,100,46,49,0,0,51,1.0,1.0,0.010000000000000009,0.014754659998288844
bell,X,1000,42,493,0,0,507,1.0,1.0,0.007000000000000006,0.156436864999705
bell,X,1000,43,492,0,0,508,1.0,1.0,0.008000000000000007,0.15998859599494608
bell,X,1000,44,499,0,0,501,1.0,1.0,0.0010000000000000009,0.18335541199485306
bell,X,1000,45,506,0,0,494,1.0,1.0,0.006000000000000005,0.14599550799903227
